sales_agent_id,account,product,order_value,create_date
Boris Faz,Betasoloin,GTX Plus Basic,992,4/3/17
Anna Snelling,dambase,GTX Plus Pro,5060,4/1/17
Cassey Cress,Kan-code,GTX Basic,585,4/1/17
Versie Hillebrand,Zumgoity,MG Advanced,3251,4/1/17
Violet Mclelland,Mathtouch,GTX Plus Basic,941,4/1/17
Anna Snelling,Codehow,MG Advanced,3445,4/4/17
Daniell Hammack,Vehement Capital Partners,GTX Basic,540,4/2/17
Daniell Hammack,Gekko & Co,GTXPro,4986,4/2/17
Reed Clapper,Ganjaflex,GTXPro,4440,4/3/17
Versie Hillebrand,Rangreen,MG Special,52,4/2/17
Gladys Colclough,Stanredtax,GTX Basic,503,4/3/17
Markita Hansen,Kan-code,MG Advanced,3181,4/6/17
Vicki Laflamme,Blackzim,GTX Basic,545,4/3/17
Violet Mclelland,Yearin,MG Special,68,4/2/17
Anna Snelling,Dontechi,MG Special,54,4/4/17
Daniell Hammack,The New York Inquirer,GTX Plus Basic,971,4/5/17
Daniell Hammack,Donware,GTX Plus Pro,6024,4/5/17
Darcel Schlecht,Stanredtax,GTXPro,4820,4/4/17
Garret Kinder,Ganjaflex,MG Advanced,2940,4/2/17
Hayden Neloms,Doncon,MG Special,49,4/4/17
Rosalina Dieter,Y-corporation,GTK 500,25288,4/5/17
Reed Clapper,Mathtouch,GTXPro,5363,4/5/17
Zane Levy,Doncon,MG Advanced,4253,4/3/17
Cecily Lampkin,Codehow,GTX Plus Basic,1056,4/8/17
Darcel Schlecht,Warephase,MG Advanced,3665,4/9/17
Hayden Neloms,Goodsilron,MG Special,58,4/8/17
Moses Frase,Bioholding,GTX Plus Pro,5447,4/7/17
Niesha Huffines,Globex Corporation,GTX Plus Pro,5972,4/5/17
Rosalina Dieter,Cheers,GTXPro,4855,4/2/17
Jonathan Berthelot,Hottechi,GTX Basic,553,4/5/17
Kami Bicknell,Faxquote,MG Advanced,3523,4/7/17
Maureen Marcano,Green-Plus,MG Special,48,4/7/17
Vicki Laflamme,Goodsilron,GTX Plus Basic,1176,4/9/17
Wilburn Farren,Kinnamplus,GTX Basic,589,4/4/17
Cassey Cress,The New York Inquirer,GTXPro,4276,4/6/17
Cassey Cress,Silis,MG Advanced,3390,4/7/17
Donn Cantrell,Xx-zobam,GTX Basic,564,4/6/17
Kami Bicknell,Hottechi,GTX Basic,500,4/1/17
Lajuana Vencill,Hottechi,GTX Plus Pro,5728,4/7/17
Rosie Papadopoulos,Umbrella Corporation,GTX Plus Pro,6155,4/8/17
Rosie Papadopoulos,Zathunicon,GTX Plus Pro,4668,4/8/17
Versie Hillebrand,Ron-tech,MG Special,59,4/8/17
Vicki Laflamme,Plexzap,MG Advanced,3316,4/6/17
Zane Levy,Plexzap,GTX Plus Pro,6227,4/10/17
Anna Snelling,dambase,MG Advanced,3626,4/8/17
Boris Faz,Vehement Capital Partners,MG Advanced,2819,4/1/17
Hayden Neloms,Fasehatice,GTX Plus Basic,901,4/9/17
James Ascencio,Faxquote,GTX Basic,589,4/8/17
Kami Bicknell,Sunnamplex,GTXPro,5073,4/1/17
Kary Hendrixson,Konex,GTX Basic,609,4/2/17
Kary Hendrixson,Goodsilron,MG Special,55,4/1/17
Maureen Marcano,Condax,GTX Plus Pro,5637,4/10/17
Maureen Marcano,Plexzap,GTX Plus Pro,5793,4/11/17
Rosalina Dieter,Hottechi,GTX Basic,520,4/7/17
Rosalina Dieter,Finjob,MG Advanced,4080,4/2/17
Vicki Laflamme,Sunnamplex,MG Advanced,3367,4/12/17
Zane Levy,Dalttechnology,GTX Basic,430,4/6/17
Darcel Schlecht,Bioholding,GTX Plus Pro,5798,4/8/17
Darcel Schlecht,Betatech,GTXPro,4685,4/10/17
Jonathan Berthelot,Dontechi,GTX Basic,565,4/8/17
Markita Hansen,J-Texon,MG Advanced,3817,4/6/17
Niesha Huffines,Hottechi,GTX Basic,531,4/10/17
Rosalina Dieter,Blackzim,MG Special,51,4/7/17
Versie Hillebrand,Stanredtax,MG Special,60,4/2/17
Cecily Lampkin,Domzoom,MG Advanced,3343,4/10/17
Darcel Schlecht,Bioholding,MG Advanced,3263,4/11/17
Elease Gluck,Fasehatice,GTX Plus Basic,976,4/8/17
Garret Kinder,Plussunin,GTXPro,4746,4/9/17
Gladys Colclough,Codehow,GTX Basic,507,4/11/17
James Ascencio,Fasehatice,GTXPro,5693,4/9/17
Kary Hendrixson,Cheers,GTX Basic,488,4/10/17
Marty Freudenburg,Funholding,GTX Plus Basic,949,4/11/17
Maureen Marcano,Faxquote,GTX Plus Basic,882,4/4/17
Rosie Papadopoulos,Kinnamplus,GTXPro,3731,4/12/17
Zane Levy,Sunnamplex,GTXPro,4444,4/3/17
Corliss Cosme,Betasoloin,MG Advanced,2794,4/10/17
Darcel Schlecht,Rangreen,MG Special,53,4/9/17
Darcel Schlecht,Globex Corporation,MG Advanced,3141,4/13/17
Donn Cantrell,Iselectrics,GTX Plus Pro,5691,4/14/17
Elease Gluck,Nam-zim,MG Special,52,4/7/17
Gladys Colclough,Betatech,GTX Basic,532,4/5/17
Gladys Colclough,Isdom,GTXPro,5615,4/4/17
Kami Bicknell,J-Texon,GTX Basic,565,4/12/17
Reed Clapper,Yearin,GTXPro,3991,4/14/17
Vicki Laflamme,J-Texon,GTX Basic,456,4/15/17
Anna Snelling,Domzoom,GTX Basic,582,4/11/17
Anna Snelling,Domzoom,MG Special,59,4/12/17
Boris Faz,Donquadtech,MG Advanced,3259,4/9/17
Corliss Cosme,Vehement Capital Partners,GTX Basic,593,4/11/17
Jonathan Berthelot,Konmatfix,GTXPro,5063,4/6/17
Jonathan Berthelot,Streethex,GTXPro,5032,4/10/17
Kami Bicknell,Scotfind,GTXPro,4449,4/6/17
Markita Hansen,Scotfind,MG Special,57,4/8/17
Maureen Marcano,Rantouch,GTX Plus Basic,1181,4/11/17
Versie Hillebrand,Isdom,MG Special,54,4/6/17
Anna Snelling,Betatech,MG Special,57,4/14/17
Corliss Cosme,Bubba Gump,GTX Plus Basic,1083,4/10/17
Darcel Schlecht,Treequote,GTXPro,5647,4/6/17
Donn Cantrell,Plussunin,MG Special,50,4/14/17
Kary Hendrixson,Green-Plus,GTX Basic,450,4/6/17
Reed Clapper,Bioplex,GTX Plus Pro,5095,4/12/17
Violet Mclelland,Gekko & Co,MG Special,45,4/7/17
Darcel Schlecht,Rundofase,MG Special,64,4/14/17
Donn Cantrell,Plussunin,MG Advanced,3655,4/15/17
Kary Hendrixson,Plexzap,GTX Plus Pro,6154,4/7/17
Kary Hendrixson,Cheers,GTXPro,4756,4/12/17
Zane Levy,Dalttechnology,GTXPro,4168,4/12/17
Anna Snelling,Warephase,GTX Basic,596,4/8/17
Boris Faz,Zotware,MG Special,59,4/15/17
Corliss Cosme,Konex,GTX Plus Pro,5684,4/15/17
Darcel Schlecht,Gogozoom,GTXPro,4413,4/15/17
Donn Cantrell,Mathtouch,GTXPro,4152,4/13/17
Jonathan Berthelot,Warephase,GTX Plus Basic,1091,4/9/17
Jonathan Berthelot,Zumgoity,GTX Plus Basic,1189,4/17/17
Markita Hansen,Condax,GTX Basic,522,4/13/17
Maureen Marcano,Rantouch,GTX Plus Basic,1109,4/8/17
Moses Frase,Genco Pura Olive Oil Company,GTX Plus Pro,4659,4/13/17
Anna Snelling,Stanredtax,GTX Plus Basic,1142,4/15/17
Darcel Schlecht,Funholding,GTXPro,5678,4/9/17
Hayden Neloms,Scotfind,GTX Plus Pro,4761,4/10/17
Hayden Neloms,Newex,MG Advanced,3224,4/14/17
Kami Bicknell,Sunnamplex,GTX Basic,501,4/17/17
Lajuana Vencill,Statholdings,MG Advanced,3532,4/17/17
Maureen Marcano,Xx-holding,GTXPro,4320,4/12/17
Rosie Papadopoulos,Xx-zobam,GTXPro,5217,4/9/17
Vicki Laflamme,Konex,GTX Plus Pro,5848,4/16/17
Zane Levy,Xx-holding,GTX Plus Pro,5884,4/17/17
Cassey Cress,Konex,GTX Basic,598,4/20/17
Cassey Cress,Initech,MG Advanced,3275,4/16/17
Darcel Schlecht,Ron-tech,GTXPro,4978,4/18/17
Gladys Colclough,Inity,MG Advanced,3077,4/14/17
Hayden Neloms,Hottechi,GTX Plus Basic,974,4/17/17
Kami Bicknell,Cheers,GTX Plus Basic,915,4/10/17
Marty Freudenburg,Inity,GTX Plus Basic,1204,4/10/17
Niesha Huffines,Konmatfix,GTX Plus Basic,970,4/10/17
Reed Clapper,Betasoloin,GTX Basic,575,4/16/17
Cecily Lampkin,Isdom,MG Advanced,3409,4/18/17
Daniell Hammack,Xx-zobam,GTXPro,5000,4/11/17
Darcel Schlecht,Gogozoom,GTX Plus Pro,4955,4/16/17
Darcel Schlecht,Condax,GTXPro,5065,4/17/17
Darcel Schlecht,Globex Corporation,GTXPro,4343,4/17/17
Darcel Schlecht,Stanredtax,GTXPro,3892,4/20/17
Kami Bicknell,Kan-code,GTX Basic,533,4/16/17
Kami Bicknell,Cheers,GTX Plus Basic,1290,4/13/17
Lajuana Vencill,Gogozoom,MG Special,47,4/18/17
Reed Clapper,The New York Inquirer,GTXPro,4136,4/20/17
Versie Hillebrand,Rundofase,MG Special,62,4/18/17
Zane Levy,Goodsilron,GTX Basic,467,4/11/17
Daniell Hammack,Ontomedia,MG Special,52,4/13/17
Darcel Schlecht,Condax,GTXPro,4837,4/18/17
Elease Gluck,Xx-holding,GTX Plus Basic,1163,4/13/17
Kary Hendrixson,Doncon,GTX Basic,568,4/18/17
Niesha Huffines,Gogozoom,GTX Basic,504,4/12/17
Niesha Huffines,Gogozoom,MG Special,55,4/13/17
Violet Mclelland,Massive Dynamic,MG Special,55,4/12/17
Boris Faz,Konex,MG Advanced,3223,4/22/17
Cassey Cress,Zathunicon,GTX Basic,553,4/19/17
Cassey Cress,Gekko & Co,GTX Plus Basic,1114,4/14/17
Cecily Lampkin,dambase,MG Advanced,3785,4/20/17
Donn Cantrell,Yearin,GTXPro,5316,4/13/17
Kami Bicknell,Y-corporation,GTX Basic,478,4/13/17
Kami Bicknell,Finjob,GTXPro,5672,4/22/17
Kami Bicknell,Goodsilron,MG Special,51,4/19/17
Kami Bicknell,Konex,MG Advanced,3141,4/19/17
Vicki Laflamme,J-Texon,MG Special,50,4/23/17
Zane Levy,Hatfan,GTXPro,4272,4/22/17
Anna Snelling,Inity,MG Special,58,4/15/17
Boris Faz,Ontomedia,GTX Plus Basic,1088,4/14/17
Darcel Schlecht,Domzoom,GTX Plus Basic,1327,4/19/17
Darcel Schlecht,Scottech,GTX Plus Basic,1058,4/23/17
Darcel Schlecht,Streethex,GTX Plus Pro,5220,4/21/17
Gladys Colclough,Ron-tech,MG Special,55,4/22/17
James Ascencio,Golddex,GTX Plus Basic,996,4/20/17
Kami Bicknell,Hottechi,GTX Basic,543,4/22/17
Versie Hillebrand,Bioholding,MG Special,56,4/22/17
Corliss Cosme,Massive Dynamic,GTX Plus Basic,1033,4/23/17
Darcel Schlecht,Finhigh,MG Special,53,4/22/17
Elease Gluck,J-Texon,GTX Basic,597,4/16/17
Gladys Colclough,Stanredtax,MG Special,57,4/15/17
Hayden Neloms,Scotfind,MG Advanced,2997,4/24/17
Jonathan Berthelot,Zumgoity,GTX Basic,565,4/25/17
Jonathan Berthelot,Treequote,MG Special,54,4/24/17
Kami Bicknell,Sunnamplex,GTXPro,4991,4/21/17
Vicki Laflamme,Hottechi,MG Special,59,4/20/17
Anna Snelling,Statholdings,GTX Plus Pro,5082,4/16/17
Boris Faz,Iselectrics,GTX Plus Pro,5293,4/24/17
Donn Cantrell,Ganjaflex,MG Special,49,4/16/17
Zane Levy,Konex,GTX Plus Pro,4687,4/20/17
Cassey Cress,Zencorporation,GTXPro,4852,4/27/17
Daniell Hammack,Donquadtech,GTXPro,5104,4/17/17
Garret Kinder,Konex,GTXPro,3930,4/23/17
Gladys Colclough,Domzoom,GTX Plus Basic,1055,4/22/17
Jonathan Berthelot,Scottech,GTX Basic,538,4/24/17
Jonathan Berthelot,Domzoom,MG Special,68,4/23/17
Maureen Marcano,Newex,GTX Basic,572,4/28/17
Maureen Marcano,Groovestreet,GTX Plus Basic,1234,4/24/17
Anna Snelling,Warephase,MG Special,52,4/26/17
Anna Snelling,Codehow,MG Advanced,3668,4/24/17
Daniell Hammack,Plussunin,GTX Plus Basic,1310,4/20/17
Darcel Schlecht,Warephase,GTX Plus Basic,1170,4/25/17
Gladys Colclough,Genco Pura Olive Oil Company,GTXPro,4784,4/24/17
James Ascencio,Goodsilron,GTXPro,5451,4/24/17
Kami Bicknell,Faxquote,GTX Basic,527,4/19/17
Kary Hendrixson,Fasehatice,GTX Plus Pro,5408,4/19/17
Markita Hansen,Plexzap,GTX Basic,527,4/24/17
Marty Freudenburg,dambase,GTX Plus Basic,1160,4/23/17
Reed Clapper,Umbrella Corporation,GTX Basic,555,4/19/17
Versie Hillebrand,Isdom,MG Special,62,4/23/17
Violet Mclelland,Konex,MG Special,56,4/25/17
Wilburn Farren,The New York Inquirer,MG Advanced,3490,4/23/17
Anna Snelling,Betatech,MG Special,51,4/25/17
Anna Snelling,Conecom,MG Special,56,4/27/17
James Ascencio,Kan-code,MG Special,44,4/29/17
Kami Bicknell,Doncon,GTX Basic,552,4/24/17
Kary Hendrixson,Newex,GTX Basic,474,4/26/17
Kary Hendrixson,Xx-holding,GTX Plus Basic,1158,4/22/17
Kary Hendrixson,Faxquote,GTX Plus Pro,5839,4/19/17
Kary Hendrixson,Xx-holding,GTXPro,5078,4/24/17
Niesha Huffines,Inity,MG Advanced,3392,4/19/17
Vicki Laflamme,Fasehatice,GTXPro,5040,4/20/17
Zane Levy,Sonron,GTX Plus Pro,5853,4/25/17
Anna Snelling,Scottech,MG Special,49,4/25/17
Boris Faz,Gekko & Co,GTX Plus Basic,1080,4/29/17
Cecily Lampkin,Konmatfix,MG Special,55,4/20/17
Elease Gluck,Lexiqvolax,GTK 500,23746,4/20/17
Reed Clapper,Opentech,MG Special,61,4/27/17
Rosalina Dieter,Goodsilron,GTX Basic,600,4/28/17
Rosie Papadopoulos,Opentech,GTX Plus Pro,5805,4/20/17
Cassey Cress,Plussunin,GTXPro,5091,4/25/17
Cassey Cress,Donquadtech,MG Special,59,4/22/17
Darcel Schlecht,Rundofase,GTX Basic,549,4/28/17
Jonathan Berthelot,Conecom,GTX Basic,657,4/29/17
Jonathan Berthelot,Gogozoom,MG Special,56,4/27/17
Kami Bicknell,Blackzim,GTX Basic,502,4/28/17
Marty Freudenburg,Finhigh,MG Special,64,4/28/17
Maureen Marcano,Scotfind,GTX Basic,579,4/27/17
Maureen Marcano,Lexiqvolax,GTX Plus Pro,5958,4/30/17
Versie Hillebrand,Genco Pura Olive Oil Company,GTX Plus Pro,4878,4/27/17
Darcel Schlecht,Finhigh,MG Advanced,3269,4/26/17
Donn Cantrell,Acme Corporation,GTXPro,4605,4/27/17
Hayden Neloms,Labdrill,MG Advanced,3303,4/30/17
Jonathan Berthelot,Streethex,MG Special,55,4/22/17
Rosie Papadopoulos,Acme Corporation,MG Advanced,3850,4/23/17
