sales_agent,account,product,order_value,create_date
Niesha Huffines,Rundofase,GTXPro,4835,9/1/17
Kary Hendrixson,Nam-zim,GTX Basic,616,9/3/17
Marty Freudenburg,Rangreen,GTX Basic,433,9/2/17
Niesha Huffines,Funholding,GTX Plus Basic,984,9/18/17
Jonathan Berthelot,Codehow,GTX Plus Basic,1093,9/2/17
Elease Gluck,Newex,MG Special,54,9/5/17
Kami Bicknell,Singletechno,GTXPro,4426,9/12/17
Maureen Marcano,Zoomit,GTX Plus Pro,4786,9/18/17
Kami Bicknell,Blackzim,GTX Plus Pro,4755,9/13/17
Kary Hendrixson,Faxquote,GTX Plus Basic,1220,9/14/17
Markita Hansen,Scotfind,GTX Basic,464,9/4/17
Moses Frase,Finhigh,MG Special,61,9/15/17
Elease Gluck,Faxquote,MG Special,54,9/13/17
Jonathan Berthelot,Codehow,GTXPro,5625,9/6/17
Daniell Hammack,Umbrella Corporation,GTX Basic,536,9/15/17
Lajuana Vencill,Streethex,MG Special,61,9/7/17
Maureen Marcano,Blackzim,GTX Plus Basic,1101,9/10/17
Niesha Huffines,Inity,GTX Basic,545,9/5/17
Violet Mclelland,Zotware,MG Advanced,3061,9/26/17
Vicki Laflamme,Rantouch,GTXPro,5154,9/7/17
Wilburn Farren,Gekko & Co,MG Advanced,3483,9/16/17
Versie Hillebrand,Codehow,MG Special,51,9/20/17
Vicki Laflamme,Golddex,GTXPro,4573,9/8/17
Anna Snelling,Streethex,MG Special,51,9/15/17
Donn Cantrell,Iselectrics,GTX Plus Basic,995,9/5/17
Corliss Cosme,Ganjaflex,GTX Basic,503,9/4/17
Daniell Hammack,Mathtouch,GTX Basic,592,9/1/17
Darcel Schlecht,Warephase,GTXPro,4914,9/11/17
Darcel Schlecht,Cancity,GTXPro,5961,9/27/17
Hayden Neloms,Groovestreet,MG Advanced,3728,9/14/17
Kami Bicknell,Plusstrip,GTX Plus Basic,1082,9/13/17
Daniell Hammack,Yearin,GTXPro,4491,9/11/17
Marty Freudenburg,Treequote,MG Advanced,2785,9/5/17
Moses Frase,Bioholding,GTX Basic,547,9/15/17
Garret Kinder,Konex,GTX Basic,476,9/2/17
Kary Hendrixson,Condax,GTX Basic,584,9/25/17
Niesha Huffines,Globex Corporation,GTX Basic,578,9/8/17
Cassey Cress,Donware,GTX Basic,614,9/24/17
Cassey Cress,Bubba Gump,GTX Plus Pro,5778,9/13/17
Donn Cantrell,Bubba Gump,MG Advanced,3521,9/10/17
James Ascencio,Lexiqvolax,GTX Plus Pro,5190,9/18/17
Maureen Marcano,Goodsilron,GTX Plus Basic,940,9/27/17
Violet Mclelland,Massive Dynamic,MG Advanced,3158,9/10/17
Corliss Cosme,Konex,GTX Basic,616,9/25/17
Lajuana Vencill,Rundofase,GTX Basic,483,9/23/17
Lajuana Vencill,Warephase,MG Advanced,3727,9/16/17
Boris Faz,Silis,GTX Basic,561,9/15/17
Cassey Cress,The New York Inquirer,MG Special,44,9/18/17
Corliss Cosme,Mathtouch,GTX Basic,560,9/18/17
Kami Bicknell,Faxquote,GTXPro,4924,9/23/17
Vicki Laflamme,Kan-code,GTXPro,5074,9/21/17
Wilburn Farren,Vehement Capital Partners,GTX Plus Pro,5198,9/23/17
Anna Snelling,Conecom,GTX Basic,576,9/3/17
Donn Cantrell,Kinnamplus,GTX Basic,481,9/2/17
